A,B,LINKID,X_MID,Y_MID,TAZID_1_gpd,TAZID_1_ap,TCHECK,,,
20001,90032,20001_90032,405816.516,4483778.364,924,935,1,,"* by using our own nearest function in geopandas, we get a slightly different 'nearest TAZID' between arcpy and geopandas as shown in TAZID_1",
24551,24651,24551_24651,424012.5,4507888,1451,1449,1,,,
24651,24551,24651_24551,424012.5,4507888,1451,1449,1,,,
26700,90136,26700_90136,400656.3807,4549343.81,899,898,1,,,
28417,90022,28417_90022,424229.1224,4553746.861,640,641,1,,,
29125,90012,29125_90012,422412.6409,4565367.99,338,348,1,,,
29391,90031,29391_90031,413951.0017,4583360.006,130,131,1,,,
65011,95002,65011_95002,423642.5521,4419466.972,3490,3489,1,,,
65276,95052,65276_95052,442965.0679,4428488.644,3428,3427,1,,,
90004,90005,90004_90005,420078.3476,4598866.117,147,146,1,,,
90005,90004,90005_90004,420078.3476,4598866.117,147,146,1,,,
90006,90027,90006_90027,420991.8198,4597381.382,148,147,1,,,
90012,29125,90012_29125,422412.6409,4565367.99,338,348,1,,,
90020,90016,90020_90016,427466.6102,4554357.635,581,903,1,,,
90022,28417,90022_28417,424229.1224,4553746.861,640,641,1,,,
90027,90006,90027_90006,420991.8198,4597381.382,148,147,1,,,
90031,29391,90031_29391,413951.0017,4583360.006,130,131,1,,,
90032,20001,90032_20001,405816.516,4483778.364,924,935,1,,,
90033,90034,90033_90034,400324.5317,4482479.655,924,935,1,,,
90034,90033,90034_90033,400324.5317,4482479.655,924,935,1,,,
90039,90071,90039_90071,440306.9217,4513931.302,2203,2204,1,,,
90047,90043,90047_90043,433878.2296,4507825.315,2207,2205,1,,,
90056,90088,90056_90088,437217.6233,4509907.645,2203,2207,1,,,
90058,90101,90058_90101,438151.8047,4510471.3,2203,2207,1,,,
90059,90089,90059_90089,437386.6963,4510289.32,2207,2203,1,,,
90068,90071,90068_90071,440178.3358,4512381.984,2203,2204,1,,,
90071,90039,90071_90039,440306.9217,4513931.302,2203,2204,1,,,
90071,90068,90071_90068,440178.3358,4512381.984,2203,2204,1,,,
90083,90087,90083_90087,435026.6514,4508580.63,2205,2207,1,,,
90085,90049,90085_90049,435578.4326,4508960.041,2205,2207,1,,,
90087,90085,90087_90085,435283.5516,4508829.978,2207,2205,1,,,
90089,90061,90089_90061,437187.7871,4509888.63,2203,2207,1,,,
90090,90064,90090_90064,439015.6592,4511032.501,2203,2207,1,,,
90129,90130,90129_90130,444774.3489,4493074.254,2197,2196,1,,,
90130,90129,90130_90129,444774.3489,4493074.254,2197,2196,1,,,
90136,26700,90136_26700,400656.3807,4549343.81,899,898,1,,,
95002,65011,95002_65011,423642.5521,4419466.972,3490,3489,1,,,
95009,95010,95009_95010,452373.761,4466616.91,3506,3507,1,,,
95010,95009,95010_95009,452373.761,4466616.91,3506,3507,1,,,
95052,65276,95052_65276,442965.0679,4428488.644,3428,3427,1,,,
,,,,,65680,66072,,,SumDiff,392
